trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",35,0,-85.03056724176881,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 4.9}",20,0,-30.94838227862307,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",20,0,-38.90348366952254,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 4.800000000000001}",30,0,-82.09374202104296,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 4.750000000000001}",20,0,-38.01594258321875,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",30,0,-44.302426078253454,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",20,0,-51.49662147456115,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
