trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.3, 'e': 0.7261490370736908}",20,0,11.478043559869182,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.7117703227626098}",20,3,-19.179819477943358,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.3, 'e': 0.6976763260710311}",30,0,-130.00621055788554,"{0: 22, 1: 3, 2: 0, 3: 3, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.6838614092123559}",20,0,-75.71550132039856,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.6703200460356393}",30,0,-19.146050876329014,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.6570468198150569}",20,0,-45.32006632251333,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.6440364210831414}",30,2,-28.13720039843654,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.631283645506926}",25,18,6.53420855473953,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,11,4.647188660364061,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,10,-76.01909646167348,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.3, 'e': 0.5945205479701943}",30,19,10.723841220447095,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.5827482523739896}",30,0,-160.3567194553529,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.3, 'e': 0.5712090638488149}",30,0,-50.951100116362,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.559898366565402}",30,0,-26.431726914099272,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,0,-40.70124761345676,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.5379444375946745}",30,2,-45.1816293100784,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.3, 'e': 0.5272924240430485}",30,12,-19.070907904215552,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.5168513344916992}",25,0,-72.51503296571286,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.5066169923655895}",20,15,1.0788737500697994,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.49658530379140947}",30,13,-22.067512345975686,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.3, 'e': 0.4867522559599717}",20,9,-35.64976734528639,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.3, 'e': 0.47711391552103444}",20,0,-5.44068120066357,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.4676664270099093}",20,11,-37.749241626299124,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.45840601130522357}",20,3,-52.61801986454153,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,8,11.225090881135692,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.4404316545059992}",25,14,7.9486850700154905,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.3, 'e': 0.43171052342907973}",20,10,6.843560386883076,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.4231620823177489}",25,1,21.954913000016017,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.4147829116815814}",30,17,-11.743592418930223,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.40656965974059905}",30,13,3.401126819466535,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.39851904108451414}",20,0,10.810703651392089,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.3906278353585211}",30,16,11.675526121161006,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.382892885975112}",20,5,-25.690421290227597,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.3, 'e': 0.37531109885139957}",30,12,-49.097754588963404,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.3, 'e': 0.36787944117144233}",20,0,7.576077316468903,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.3605949401730783}",20,0,-35.72384559979476,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.3534546819587801}",25,11,-45.54293022789284,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
