trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.3, 'e': 0.14956861922263504}",20,8,-18.562582705604807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.3, 'e': 0.14660696213035015}",20,8,8.68788162378402,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.14370394977770293}",35,16,24.193326914064166,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.140858420921045}",30,8,-19.769838191415218,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.3, 'e': 0.13806923731089282}",20,11,5.705758125677974,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.1353352832366127}",25,14,20.330941767876016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.13265546508012172}",35,18,17.69094644130892,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.1300287108784259}",30,21,16.673676871109343,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.12745396989482075}",20,6,23.755909612903395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.12493021219858241}",30,14,8.348105147139297,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.12245642825298189}",25,13,-0.3555991689057594,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.12003162851145673}",20,10,11.791348696317447,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.11765484302177918}",25,14,-9.722616205663556,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.11532512103806251}",30,13,33.78559369210239,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.11304153064044985}",20,11,2.998940888776663,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.11080315836233387}",25,12,24.739809416070102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.10860910882495797}",20,12,1.25082532630395,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.1064585043792528}",20,2,18.18511686517573,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.104350484754765}",20,12,16.602218594356728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
